model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
5,2019,21995,10544.0,145,42.8,2,0,0,1,0,0,1,0,1
3,2019,31500,8850.0,145,44.1,5,1,0,0,1,0,0,0,1
1,2019,18990,2620.0,150,52.3,3,0,0,1,1,0,0,0,1
3,2015,13890,66500.0,125,58.9,5,0,0,1,1,0,0,0,1
4,2015,15465,55246.0,30,64.2,5,1,0,0,1,0,0,0,1
2,2016,14242,14900.0,125,53.3,1,0,1,0,0,0,1,0,1
1,2020,16999,2718.0,150,49.6,0,0,1,0,0,0,1,0,1
7,2020,37000,2000.0,145,38.2,5,0,0,1,1,0,0,0,1
1,2013,13500,34447.0,20,67.3,5,0,1,0,1,0,0,0,1
0,2019,22990,2405.0,145,44.1,0,1,0,0,0,0,1,0,1
7,2016,19400,41185.0,200,47.1,5,0,0,1,1,0,0,0,1
4,2019,32900,8012.0,145,45.6,5,1,0,0,1,0,0,0,1
6,2015,10999,89330.0,30,61.4,5,0,1,0,1,0,0,0,1
6,2016,19995,13483.0,160,50.4,5,1,0,0,1,0,0,0,1
4,2013,8399,83297.0,145,56.5,5,0,1,0,1,0,0,0,1
6,2016,17990,29858.0,30,60.1,5,0,1,0,1,0,0,0,1
6,2012,10995,61000.0,205,47.9,5,0,0,1,1,0,0,0,1
0,2016,16125,20912.0,30,56.5,1,0,1,0,0,0,1,0,1
2,2016,17998,20885.0,30,64.2,5,0,1,0,1,0,0,0,1
5,2018,20990,8650.0,145,54.3,1,0,0,1,0,0,1,0,1
1,2016,14032,44658.0,125,52.3,1,0,1,0,0,0,1,0,1
1,2016,16000,57407.0,125,57.6,5,1,0,0,1,0,0,0,1
1,2017,13999,18830.0,20,60.1,0,0,1,0,0,0,1,0,1
3,2017,23125,24140.0,145,61.4,5,0,0,1,1,0,0,0,1
6,2016,20990,29794.0,145,47.9,1,0,0,1,0,0,1,0,1
7,2020,42991,2648.0,145,38.2,5,0,0,1,1,0,0,0,1
0,2015,10291,27013.0,30,57.6,1,0,1,0,0,0,1,0,1
4,2016,20000,19862.0,145,56.5,5,0,0,1,1,0,0,0,1
1,2019,21990,3272.0,145,55.4,5,0,1,0,1,0,0,0,1
2,2016,13998,19285.0,125,53.3,1,0,1,0,0,0,1,0,1
1,2018,15590,19686.0,145,68.9,3,0,1,0,1,0,0,0,1
5,2019,24750,4563.0,145,49.6,3,0,1,0,1,0,0,0,1
2,2016,15485,37188.0,20,72.4,5,0,0,1,1,0,0,0,1
1,2016,15965,32110.0,125,49.6,5,0,1,0,0,0,1,0,1
3,2015,12990,43811.0,125,58.9,5,1,0,0,1,0,0,0,1
0,2016,11498,22669.0,30,57.6,1,0,1,0,0,0,1,0,1
1,2017,25400,21572.0,150,43.5,5,0,0,1,0,0,1,0,1
2,2017,25000,26846.0,150,56.5,5,0,0,1,1,0,0,0,1
3,2017,22990,14589.0,30,65.7,5,0,0,1,1,0,0,0,1
3,2017,24990,36310.0,145,45.6,5,1,0,0,0,0,1,0,1
7,2019,33850,11254.0,145,38.2,5,1,0,0,1,0,0,0,1
7,2016,24430,64685.0,240,42.8,6,1,0,0,1,0,0,0,1
1,2016,11000,37235.0,0,74.3,3,0,1,0,1,0,0,0,1
3,2019,28320,11000.0,145,50.4,5,0,0,1,1,0,0,0,1
4,2017,31850,13449.0,145,43.5,6,0,0,1,1,0,0,0,1
5,2017,17481,23496.0,145,54.3,1,0,0,1,0,0,1,0,1
6,2019,28888,7896.0,145,40.9,5,1,0,0,1,0,0,0,1
4,2019,53939,6238.0,145,37.7,6,0,0,1,1,0,0,0,1
